	{斜玉}
󲁇	{𨄛字边}
󲁈	{𨄣字边}
󲁉	{𨅅字边}
󲁊	{𨅪字底}
󲁋	{𨅫字边}
󲁌	{𨅳字边}
󲁍	{𨆚字边}
󲁎	{𨆨字边}
󲁏	{𨆬字底}
󲁐	{𨇋字边}
󲁑	{𨇐字头}
󲁒	{𨇔字边}
󲁓	{𨇕字边字头}
󲁔	{𨇕字边}
󲁖	{𨇫字边}
󲁗	{𨇬字边}
󲁘	{𨇭字心}
󲁙	{𨈄字边}
󲁚	{𨈉字边}
󲁛	{𨈍字边}
󲁜	{𨈐字心}
󲁝	{𨈼字边}
󲁞	{𨉂字边}
󲁟	{𨉄字边}
󲁠	{𨉅字边}
󲁡	{𨉇字边}
󲁢	{𨉙字边}
󲁣	{𨉛字边}
󲁤	{𨉧字边}
󲁥	{𨉯字边}
󲁦	{𨉯字边之一}
󲁧	{𨉽字边}
󲁨	{𨊀字边}
󲁪	{𨊊字边}
󲁫	{𨊎字边}
󲁬	{𨊗字边字底字心}
󲁭	{𨊗字边字底}
󲁮	{𨊗字边}
󲁯	{𨊜字边}
󲁱	{𨌕字边}
󲁴	{𨌝字边}
󲁵	{𨌝字边之一}
󲁷	{𨌡字边}
󲁹	{𨌺字边}
󲁺	{𨌼字底}
󲁻	{𨍁字头}
󲁽	{𨍅字边}
󲁾	{𨍔字底}
󲁿	{𨍘字边}
󲂀	{𨍺字边}
󲂁	{𨍻字旁}
󲂂	{𨎈字边}
󲂃	{𨎈字边之一}
󲂄	{𨎉字边}
󲂅	{𨎕字边}
󲂆	{𨎜字边}
󲂇	{𨎡字边字底}
󲂈	{𨎡字边}
󲂉	{𨎣字边}
󲂊	{𨎱字头}
󲂋	{𨎾字边}
󲂌	{𨎾字边之一}
󲂍	{𨏀字边}
󲂎	{𨏅字边}
󲂏	{𨏅字边之一}
󲂐	{𨏖字旁}
󲂑	{𨏚字边}
󲂒	{𨏜字底字心}
󲂓	{𨏜字底}
󲂔	{𨏝字边字底字心字头}
󲂕	{𨏝字边字底字心}
󲂖	{𨏝字边字底}
󲂗	{𨏝字边}
󲂘	{𨏣字边字底字旁}
󲂙	{𨏣字边字底}
󲂚	{𨏣字边}
󲂛	{𨏣字边之一}
󲂜	{𨏩字底}
󲂝	{𨏩字底之一}
󲂞	{𨏩字底之二}
󲂟	{𨏬字中}
󲂡	{𨏵字边字底}
󲂢	{𨏵字边}
󲂣	{𨏺字边}
󲂥	{𨐂字边字底字心}
󲂦	{𨐂字边字底}
󲂧	{𨐂字边}
󲂨	{𨐄字旁}
󲂩	{𨐄字中字头}
󲂪	{𨐄字中}
󲂫	{𨐐字旁}
󲂬	{𨐐字旁之一}
󲂭	{𨐟字边}
󲂮	{𨐧字旁}
󲂯	{𨐫字旁}
󲂰	{𨐲字旁}
󲂱	{𨐳字旁}
󲂲	{𨐻字边}
󲂳	{𨑀字旁}
󲂴	{𨑃字心}
󲂵	{𨑄字心}
󲂶	{𨑈字头}
󲂷	{𨑋字头}
󲂸	{𨑐字框}
󲂹	{𨑘字框}
󲂺	{𨑘字框之一}
󲂻	{𨒒字框}
󲂼	{𨒓字框}
󲂽	{𨒝字框}
󲂾	{𨒳字框}
󲃁	{𨓀字框}
󲃂	{𨓂字框}
󲃃	{𨓄字框}
󲃄	{𨓆字框}
󲃅	{𨓍字框}
󲃆	{𨓍字框之一}
󲃇	{𨓎字框}
󲃈	{𨓒字框}
󲃉	{𨓔字框}
󲃊	{𨓔字框之一}
󲃋	{𨓖字框}
󲃌	{𨓛字框}
󲃍	{𨓛字框之一}
󲃎	{𨓝字框}
󲃏	{𨓝字框之一}
󲃐	{𨓟字框}
󲃑	{𨓠字框}
󲃒	{𨓩字框}
󲃓	{𨓶字心}
󲃔	{𨓸字框}
󲃕	{𨓺字框}
󲃖	{𨓻字框}
󲃗	{𨔄字框字心}
󲃘	{𨔄字框}
󲃙	{𨔅字框}
󲃚	{𨔇字框}
󲃛	{𨔍字框字底}
󲃜	{𨔍字框}
󲃝	{𨔎字框}
󲃞	{𨔒字框}
󲃟	{𨔔字框}
󲃠	{𨔕字框字心}
󲃡	{𨔕字框}
󲃢	{𨔖字框}
󲃣	{𨔙字框}
󲃤	{𨔜字框}
󲃥	{𨔬字框}
󲃦	{𨔯字框}
󲃧	{𨔰字框}
󲃨	{𨔱字框}
󲃩	{𨔲字框}
󲃪	{𨔲字框之一}
󲃫	{𨔸字框}
󲃬	{𨔹字框}
󲃭	{𨔿字框}
󲃮	{𨕀字框}
󲃯	{𨕃字框}
󲃲	{𨕇字框}
󲃳	{𨕉字框字边}
󲃴	{𨕉字框}
󲃵	{𨕊字框}
󲃶	{𨕋字框}
󲃷	{𨕋字框之一}
󲃸	{𨕎字框}
󲃹	{𨕏字框}
󲃺	{𨕓字框}
󲃻	{𨕔字框}
󲃼	{𨕕字框}
󲃽	{𨕕字框之一}
󲃿	{𨕚字框}
󲄀	{𨕛字框}
󲄁	{𨕣字框}
󲄂	{𨕤字框}
󲄃	{𨕧字框}
󲄄	{𨕨字框}
󲄅	{𨕩字框字边}
󲄆	{𨕩字框}
󲄇	{𨕬字框}
󲄈	{𨕮字框}
󲄉	{𨕲字框}
󲄊	{𨕷字框}
󲄋	{𨕸字框}
󲄌	{𨕻字框}
󲄍	{𨕽字心}
󲄎	{𨕿字框}
󲄏	{𨖀字框}
󲄐	{𨖂字框}
󲄑	{𨖉字框}
󲄒	{𨖏字框字旁}
󲄓	{𨖏字框}
󲄔	{𨖐字框}
󲄕	{𨖖字框}
󲄖	{𨖘字框}
󲄗	{𨖚字框}
󲄘	{𨖝字框}
󲄙	{𨖞字框}
󲄛	{𨖢字框}
󲄜	{𨖣字框}
󲄝	{𨖤字心}
󲄞	{𨖦字框}
󲄟	{𨖯字框}
󲄠	{𨖸字框}
󲄢	{𨖽字框}
󲄣	{𨗃字心}
󲄤	{𨗅字框}
󲄥	{𨗋字框字旁}
󲄦	{𨗋字框}
󲄧	{𨗌字框字腰}
󲄨	{𨗌字框}
󲄩	{𨗌字框字腰之一}
󲄪	{𨗌字框之一}
󲄫	{𨗍字框}
󲄬	{𨗐字框}
󲄭	{𨗓字框}
󲄮	{𨗔字框}
󲄯	{𨗔字框之一}
󲄰	{𨗙字框}
󲄱	{𨗞字框}
󲄲	{𨗡字框}
󲄳	{𨗢字框}
󲄴	{𨗣字框}
󲄵	{𨗣字框之一}
󲄶	{𨗤字框}
󲄷	{𨗫字框}
󲄸	{𨗭字框}
󲄹	{𨗭字框之一}
󲄺	{𨗮字框}
󲄻	{𨗰字框}
󲄼	{𨗵字框}
󲄽	{𨗶字框}
󲄾	{𨗽字框}
󲄿	{𨗾字框}
󲅀	{𨘁字框字旁}
󲅁	{𨘁字框}
󲅂	{𨘂字框}
󲅃	{𨘄字框字腰}
󲅄	{𨘄字框}
󲅅	{𨘅字框}
󲅆	{𨘈字框}
󲅇	{𨘋字框}
󲅈	{𨘍字框}
󲅉	{𨘎字框}
󲅊	{𨘏字框}
󲅋	{𨘏字框之一}
󲅌	{𨘐字框}
󲅍	{𨘒字框}
󲅎	{𨘒字框字头字框}
󲅏	{𨘒字框字头}
󲅐	{𨘒字框之一}
󲅑	{𨘙字框}
󲅒	{𨘚字框}
󲅓	{𨘛字框}
󲅔	{𨘜字框}
󲅕	{𨘝字框}
󲅖	{𨘞字框}
󲅗	{𨘟字框}
󲅘	{𨘠字框字头}
󲅙	{𨘠字框}
󲅚	{𨘡字框}
󲅛	{𨘡字框之一}
󲅜	{𨘡字框之二}
󲅝	{𨘥字框}
󲅞	{𨘦字框}
󲅟	{𨘩字框}
󲅠	{𨘫字框}
󲅡	{𨘮字框}
󲅢	{𨘰字框}
󲅣	{𨘱字框}
󲅤	{𨘱字框之一}
󲅥	{𨘲字框}
󲅦	{𨘳字框字边}
󲅧	{𨘳字框}
󲅨	{𨘳字框字边之一}
󲅩	{𨘳字框之一}
󲅪	{𨘵字框}
󲅫	{𨘶字框字底}
󲅬	{𨘶字框}
󲅭	{𨘶字框字底字框字心}
󲅮	{𨘶字框字底字框}
󲅯	{𨘶字框字底之一}
󲅰	{𨘶字框之一}
󲅱	{𨘹字框字底}
󲅲	{𨘹字框}
󲅳	{𨘹字框字底之一}
󲅴	{𨘹字框之一}
󲅵	{𨘺字框字旁}
󲅶	{𨘺字框}
󲅷	{𨘺字框之一}
󲅸	{𨘽字框}
󲅹	{𨙀字框字旁}
󲅺	{𨙀字框}
󲅻	{𨙃字框}
󲅼	{𨙅字框}
󲅽	{𨙆字框字底}
󲅾	{𨙆字框}
󲅿	{𨙈字框字心}
󲆀	{𨙈字框}
󲆁	{𨙈字框字心之一}
󲆂	{𨙈字框之一}
󲆃	{𨙎字框}
󲆄	{𨙏字框}
󲆅	{𨙐字框}
󲆆	{𨙐字框之一}
󲆇	{𨙑字框}
󲆈	{𨙑字框之一}
󲆉	{𨙗字框}
󲆊	{𨙘字框字头}
󲆋	{𨙘字框}
󲆍	{𨙘字框之一}
󲆎	{𨙛字边}
󲆐	{𨙜字框}
󲆑	{𨙡字框}
󲆒	{𨙣字框字旁}
󲆓	{𨙣字框}
󲆔	{𨙤字框}
󲆕	{𨙨字底字框}
󲆖	{𨙨字底}
󲆗	{𨙲字旁}
󲆘	{𨚃字旁}
󲆙	{𨚄字旁}
󲆚	{𨚐字旁}
󲆛	{𨚖字旁}
󲆜	{𨚚字旁}
󲆝	{𨚛字旁}
󲆞	{𨚤字旁}
󲆟	{𨚦字旁}
󲆠	{𨚸字旁}
󲆡	{𨛙字旁}
󲆢	{𨛙字旁字心}
󲆣	{𨛙字旁之一}
󲆤	{𨛝字旁}
󲆥	{𨛞字旁}
󲆦	{𨛟字旁}
󲆧	{𨛠字旁}
󲆨	{𨛧字旁}
󲆩	{𨛧字旁之一}
󲆪	{𨛷字旁}
󲆫	{𨛻字旁}
󲆬	{𨜃字旁字底}
󲆭	{𨜃字旁}
󲆮	{𨜆字旁}
󲆯	{𨜆字旁之一}
󲆰	{𨜇字旁}
󲆱	{𨜉字旁}
󲆲	{𨜋字旁}
󲆳	{𨜗字旁}
󲆴	{𨜤字旁}
󲆵	{𨜪字旁}
󲆶	{𨜪字旁之一}
󲆷	{𨜪字旁之二}
󲆹	{𨝇字旁}
󲆺	{𨝇字旁字心}
󲆻	{𨝇字旁之一}
󲆼	{𨝒字旁}
󲆽	{𨝜字边}
󲆾	{𨝞字旁}
󲆿	{𨝟字头}
󲇀	{𨝟字底}
󲇁	{𨝣字旁}
󲇂	{𨝥字旁}
󲇃	{𨝪字旁}
󲇄	{𨝺字旁}
󲇅	{𨝾字旁}
󲇆	{𨝿字旁}
󲇈	{𨞈字旁}
󲇉	{𨞉字旁}
󲇊	{𨞋字旁}
󲇋	{𨞋字旁之一}
󲇍	{𨞍字旁}
󲇎	{𨞎字旁}
󲇏	{𨞟字旁}
󲇐	{𨞤字旁}
󲇑	{𨞥字旁}
󲇒	{𨞱字旁}
󲇓	{𨞴字旁}
󲇔	{𨞶字旁}
󲇕	{𨞷字旁}
󲇖	{𨟋字旁}
󲇗	{𨟌字中}
󲇘	{𨟔字旁}
󲇙	{𨟛字旁字头}
󲇚	{𨟛字旁}
󲇛	{𨟜字旁}
󲇝	{𨟥字旁}
󲇞	{𨟧字旁字底}
󲇟	{𨟧字旁}
󲇠	{𨟨字旁}
󲇡	{𨟫字旁}
󲇢	{𨟭字旁}
󲇣	{𨟮字头}
󲇤	{𨠪字边}
󲇥	{𨠱字边}
󲇦	{𨡇字边}
󲇨	{𨡝字边}
󲇩	{𨡡字头}
󲇪	{𨡤字边}
󲇫	{𨡳字边}
󲇬	{𨡶字头}
󲇭	{𨡿字边}
󲇮	{𨢀字边}
󲇯	{𨢃字边}
󲇰	{𨢏字头}
󲇱	{𨢔字边}
󲇲	{𨢖字边}
󲇳	{𨢙字边}
󲇴	{𨢠字边}
󲇵	{𨢰字旁}
󲇶	{𨢱字头}
󲇷	{𨢹字头}
󲇸	{𨢺字边}
󲇹	{𨢽字旁}
󲇺	{𨣎字边}
󲇼	{𨣑字边}
󲇾	{𨣑字边之一}
󲇿	{𨣠字边}
󲈀	{𨣣字边}
󲈁	{𨣥字边}
󲈂	{𨣩字腰}
󲈃	{𨣪字旁}
󲈄	{𨣬字边}
󲈅	{𨣮字边}
󲈆	{𨣼字边字腰}
󲈇	{𨣼字边}
󲈈	{𨤁字边}
󲈉	{𨤁字边之一}
󲈊	{𨤅字中}
󲈋	{𨤅字中之一}
󲈌	{𨤒字头}
󲈍	{𨤓字头字心}
󲈎	{𨤓字头}
󲈏	{𨤝字底}
󲈐	{𨤝字底之一}
󲈑	{𨤞字边}
󲈒	{𨤬字底}
󲈓	{𨤬字底之一}
󲈔	{𨤷字头}
󲈕	{𨤺字旁}
󲈖	{𨥀字底}
󲈘	{𨥩字边}
󲈙	{𨥪字边}
󲈚	{𨥵字边}
󲈛	{𨦊字底}
󲈜	{𨦌字边}
󲈝	{𨦏字边}
󲈞	{𨦐字边字心}
󲈟	{𨦐字边}
󲈠	{𨦑字边}
󲈡	{𨦓字边}
󲈢	{𨦝字边}
󲈤	{𨦤字边}
󲈥	{𨦤字边之一}
󲈦	{𨦸字边}
󲈧	{𨧂字中}
󲈨	{𨧋字头}
󲈩	{𨧌字边}
󲈪	{𨧍字边}
󲈬	{𨧔字头}
󲈭	{𨧙字边}
󲈮	{𨧛字边}
󲈯	{𨧞字边}
󲈰	{𨧭字头}
󲈱	{𨧵字边}
󲈲	{𨨃字边}
󲈳	{𨨇字边}
󲈴	{𨨇字边之一}
󲈵	{𨨈字边}
󲈶	{𨨉字边}
󲈷	{𨨌字边}
󲈸	{𨨍字边}
󲈹	{𨨙字边}
󲈺	{𨨚字边}
󲈻	{𨨬字头}
󲈼	{𨨭字边}
󲈽	{𨨳字边}
󲈾	{𨨼字头}
󲈿	{𨩁字头}
󲉀	{𨩏字边}
󲉁	{𨩑字边}
󲉂	{𨩝字边}
󲉃	{𨩞字边}
󲉄	{𨩡字边}
󲉅	{𨩬字边}
󲉆	{𨩳字边}
󲉇	{𨩵字边}
󲉈	{𨩵字边之一}
󲉉	{𨩻字边}
󲉊	{𨩾字边字头}
󲉋	{𨩾字边}
󲉌	{𨪇字边}
󲉍	{𨪖字框}
󲉎	{𨪡字边}
󲉏	{𨪣字头字旁}
󲉐	{𨪣字头}
󲉑	{𨪧字头}
󲉒	{𨪨字边}
󲉓	{𨪬字边字底}
󲉔	{𨪬字边}
󲉕	{𨪭字边字底字心}
󲉖	{𨪭字边字底}
󲉗	{𨪭字边}
󲉘	{𨪭字边字底字心之一}
󲉙	{𨪭字边字底之一}
󲉚	{𨪭字边之一}
󲉛	{𨪮字边}
󲉜	{𨪯字边}
󲉝	{𨪱字头}
󲉞	{𨪲字边}
󲉟	{𨪴字边}
󲉠	{𨪹字边}
󲉡	{𨪺字边}
󲉢	{𨪿字边}
󲉣	{𨫁字边}
󲉥	{𨫘字边}
󲉦	{𨫚字边}
󲉧	{𨫦字头}
󲉨	{𨫰字边}
󲉩	{𨫴字边}
󲉪	{𨫶字边}
󲉫	{𨬀字边字框字底}
󲉬	{𨬀字边字框}
󲉭	{𨬀字边}
󲉮	{𨬁字边}
󲉯	{𨬂字边}
󲉰	{𨬕字边}
󲉱	{𨬝字头}
󲉲	{𨬦字边字底字心}
󲉳	{𨬦字边字底}
󲉴	{𨬦字边}
󲉶	{𨬦字边之一}
󲉷	{𨬧字边}
󲉸	{𨬨字边}
󲉹	{𨬨字边之一}
󲉺	{𨬲字边}
󲉻	{𨬳字边}
󲉼	{𨬴字边字头}
󲉽	{𨬴字边}
󲉾	{𨬷字边}
󲊀	{𨬺字边}
󲊁	{𨬺字边之一}
󲊂	{𨭁字边}
󲊃	{𨭂字边字心}
󲊄	{𨭂字边}
󲊅	{𨭄字边字头}
󲊆	{𨭄字边}
󲊇	{𨭄字边之一}
󲊈	{𨭄字边之二}
󲊉	{𨭅字边}
󲊊	{𨭅字边之一}
󲊌	{𨭓字边}
󲊍	{𨭞字底}
󲊎	{𨭞字底之一}
󲊏	{𨭞字底之二}
󲊐	{𨭟字边}
󲊑	{𨭤字边}
󲊒	{𨭯字中}
󲊓	{𨭱字边}
󲊔	{𨭲字边字底}
󲊕	{𨭲字边}
󲊖	{𨭳字边}
󲊗	{𨭴字边}
󲊘	{𨭵字边}
󲊙	{𨭻字头}
󲊚	{𨭾字边}
󲊛	{𨮀字边}
󲊜	{𨮄字边}
󲊝	{𨮄字边之一}
󲊞	{𨮚字边字头}
󲊟	{𨮚字边}
󲊠	{𨮡字边}
󲊡	{𨮣字边字心}
󲊢	{𨮣字边}
󲊣	{𨮦字边}
󲊤	{𨮦字边之一}
󲊥	{𨮩字边}
󲊦	{𨮲字腰}
󲊧	{𨮴字边}
󲊨	{𨮷字边}
󲊩	{𨯄字边}
󲊪	{𨯆字边}
󲊫	{𨯆字边之一}
󲊬	{𨯍字头字旁}
󲊭	{𨯍字头}
󲊮	{𨯐字边}
󲊯	{𨯴字边}
󲊰	{𨯶字边字头}
󲊱	{𨯶字边}
󲊲	{𨰁字边}
󲊳	{𨰅字边字心}
󲊴	{𨰅字边}
󲊶	{𨰆字边}
󲊸	{𨰆字边之一}
󲊹	{𨰔字边字底}
󲊺	{𨰔字边}
󲊻	{𨰕字边字心}
󲊼	{𨰕字边}
󲊽	{𨰣字边字头}
󲊾	{𨰣字边}
󲊿	{𨰨字边}
󲋀	{𨰯字边}
󲋁	{𨰱字腰字心}
󲋂	{𨰱字腰}
󲋃	{𨰱字腰之一}
󲋄	{𨰶字边字头}
󲋅	{𨰶字边}
󲋆	{𨰷字边}
󲋇	{𨱗字头}
󲋈	{𨱘字头}
󲋉	{𨱳字边}
󲋊	{𨱶字边字框}
󲋋	{𨱶字边}
󲋍	{𨱹字边}
󲋎	{𨱺字边}
󲋐	{𨲐字边}
󲋑	{𨲑字边}
󲋒	{𨲚字边}
󲋓	{𨲚字边之一}
󲋔	{𨲢字边}
󲋕	{𨲢字边之一}
󲋖	{𨲣字头}
󲋗	{𨲥字边}
󲋘	{𨲰字边}
󲋙	{𨲼字边字底}
󲋚	{𨲼字边}
󲋛	{𨲿字边}
󲋜	{𨳇字旁}
󲋝	{𨳇字边}
󲋞	{𨳇字底}
󲋠	{𨴉字心字旁}
󲋡	{𨴉字心}
󲋢	{𨴌字心}
󲋣	{𨴘字心}
󲋤	{𨴟字心}
󲋥	{𨴦字旁}
󲋦	{𨴧字心}
󲋧	{𨴮字心}
󲋨	{𨴳字心字边}
󲋩	{𨴳字心}
󲋪	{𨴶字心}
󲋫	{𨵑字心字边}
󲋬	{𨵑字心}
󲋭	{𨵑字心之一}
󲋮	{𨵯字心}
󲋯	{𨵰字心字底}
󲋰	{𨵰字心}
󲋱	{𨵲字心}
󲋲	{𨶔字心}
󲋳	{𨶟字心}
󲋴	{𨶥字心}
󲋵	{𨶳字心}
󲋶	{𨶳字心之一}
󲋸	{𨶼字头}
󲋹	{𨶾字心}
󲋺	{𨷅字心}
󲋼	{𨷇字心}
󲋽	{𨷇字心之一}
󲋾	{𨷉字心字边}
󲋿	{𨷉字心}
󲌀	{𨷊字心}
󲌁	{𨷌字心}
󲌃	{𨷍字心字底}
󲌄	{𨷍字心}
󲌅	{𨷍字心字底之一}
󲌆	{𨷍字心之一}
󲌇	{𨷍字心字心}
󲌈	{𨷍字心之二}
󲌉	{𨷍字心之三}
󲌊	{𨷗字心}
󲌋	{𨷢字心}
󲌌	{𨷥字心字底}
󲌍	{𨷥字心}
󲌎	{𨷭字心}
󲌏	{𨷮字底}
󲌐	{𨷼字心}
󲌑	{𨸴字边}
󲌒	{𨸵字边}
󲌓	{𨸻字边}
󲌔	{𨸽字边}
󲌕	{𨹐字边}
󲌖	{𨹕字边}
󲌗	{𨹖字边}
󲌘	{𨹛字边}
󲌙	{𨹠字边}
󲌚	{𨹡字边}
󲌛	{𨹢字边}
󲌝	{𨹩字边}
󲌟	{𨹸字边}
󲌠	{𨹿字边}
󲌡	{𨺀字边字头}
󲌢	{𨺀字边}
󲌣	{𨺃字边}
󲌤	{𨺃字边之一}
󲌦	{𨺊字边}
󲌧	{𨺎字边}
󲌨	{𨺐字边}
󲌩	{𨺕字边}
󲌪	{𨺖字边}
󲌫	{𨺘字边}
󲌬	{𨺚字边}
󲌮	{𨺛字边}
󲌯	{𨺞字边}
󲌰	{𨺴字边}
󲌱	{𨺶字边}
󲌲	{𨺼字边}
󲌳	{𨺿字边}
󲌴	{𨻅字边}
󲌵	{𨻊字边}
󲌶	{𨻎字边}
󲌷	{𨻎字边之一}
󲌸	{𨻐字边}
󲌹	{𨻔字边}
󲌺	{𨻔字边之一}
󲌻	{𨻘字边}
󲌼	{𨻛字边}
󲌽	{𨻞字边}
󲌾	{𨻟字边}
󲌿	{𨻠字边}
󲍀	{𨻤字边}
󲍁	{𨻦字边}
󲍂	{𨻩字边}
󲍄	{𨻪字边之一}
󲍅	{𨻭字边}
󲍆	{𨻮字边}
󲍇	{𨻯字边}
󲍈	{𨼄字边}
󲍉	{𨼄字边之一}
󲍋	{𨼇字边}
󲍌	{𨼉字边}
󲍍	{𨼘字边}
󲍎	{𨼛字边}
󲍏	{𨼛字边之一}
󲍐	{𨼜字边}
󲍒	{𨼡字边}
󲍓	{𨼣字边}
󲍔	{𨼰字边}
󲍕	{𨼶字边}
󲍖	{𨼺字边字底}
󲍗	{𨼺字边}
󲍘	{𨼻字边}
󲍙	{𨽅字边}
󲍚	{𨽆字边}
󲍛	{𨽋字边}
󲍜	{𨽌字边}
󲍝	{𨽑字边}
󲍞	{𨽘字边}
󲍟	{𨽙字边}
󲍠	{𨽙字边之一}
󲍡	{𨽝字中}
󲍣	{𨽝字中之一}
󲍥	{𨽡字边字心}
󲍦	{𨽡字边}
󲍧	{𨽥字边}
󲍨	{𨽫字边字底}
󲍩	{𨽫字边}
󲍪	{𨽭字边字头}
󲍫	{𨽭字边}
󲍬	{𨽰字边字头}
󲍭	{𨽰字边字底}
󲍮	{𨽰字边}
󲍯	{𨽱字边字底字旁}
󲍱	{𨽱字边字底}
󲍲	{𨽱字边}
󲍴	{𨽱字边字底之一}
󲍵	{𨽱字边之一}
󲍶	{𨽴字中}
󲍷	{𨾁字底}
󲍸	{𨾃字旁}
󲍹	{𨾗字底}
󲍺	{𨾫字旁}
󲍻	{𨾰字旁}
󲍼	{𨿄字底}
󲍽	{𨿪字旁}
󲍾	{𨿭字头}
󲍿	{𩀏字旁}
󲎀	{𩀖字旁}
󲎁	{𩀙字旁}
󲎂	{𩀢字旁}
󲎃	{𩀣字旁}
󲎄	{𩁚字旁字底}
󲎅	{𩁚字旁}
󲎆	{𩁚字旁字底字框}
󲎇	{𩁚字旁字底之一}
󲎈	{𩁚字旁之一}
󲎉	{𩁛字旁}
󲎋	{𩁢字旁}
󲎌	{𩁢字旁之一}
󲎍	{𩁢字旁之二}
󲎎	{𩁢字旁之三}
󲎏	{𩁣字旁}
󲎐	{𩁣字旁字底}
󲎑	{𩁣字旁之一}
󲎒	{𩁣字旁字腰}
󲎓	{𩁣字旁之二}
󲎔	{𩁤字旁字底字框}
󲎕	{𩁤字旁字底}
󲎖	{𩁤字旁}
󲎗	{𩁩字旁}
󲎘	{𩁩字旁之一}
󲎙	{𩁪字旁}
󲎚	{𩁬字旁字头}
󲎛	{𩁬字旁}
󲎜	{𩁬字旁之一}
󲎝	{𩁮字旁}
󲎞	{𩁰字头}
󲎟	{𩁲字旁字底}
󲎠	{𩁲字旁}
󲎡	{𩁲字旁字底之一}
󲎢	{𩁲字旁之一}
󲎣	{𩁳字旁}
󲎤	{𩁾字底}
󲎥	{𩂑字底}
󲎩	{𩂫字底}
󲎫	{𩂵字底}
󲎬	{𩂸字底}
󲎭	{𩃊字底}
󲎮	{𩃬字底}
󲎯	{𩃲字底}
󲎰	{𩄈字底}
󲎱	{𩄗字底}
󲎳	{𩄥字底之一}
󲎴	{𩄩字底}
󲎵	{𩄪字头}
󲎶	{𩄫字底}
󲎷	{𩄷字底}
󲎸	{𩄸字底}
󲎹	{𩄹字底}
󲎼	{𩅎字底}
󲎽	{𩅒字底}
󲎾	{𩅖字边}
󲎿	{𩅗字底}
󲏀	{𩅤字底}
󲏁	{𩅧字底}
󲏂	{𩅬字底字边}
󲏃	{𩅬字底}
󲏄	{𩅲字底}
󲏅	{𩅶字底}
󲏆	{𩅶字底之一}
󲏇	{𩆈字底}
󲏈	{𩆈字底之一}
󲏉	{𩆉字底字旁}
󲏊	{𩆉字底}
󲏋	{𩆙字底}
󲏌	{𩆥字底字旁}
󲏍	{𩆥字底}
󲏎	{𩆫字腰}
󲏐	{𩆫字底}
󲏒	{𩆫字底字底}
󲏓	{𩆫字底之一}
󲏔	{𩆹字底}
󲏕	{𩇀字腰}
󲏖	{𩇁字底}
󲏗	{𩇂字底}
󲏘	{𩇊字底}
󲏙	{𩇌字腰}
󲏚	{𩇑字底}
󲏛	{𩇒字腰}
󲏜	{𩇒字底}
󲏝	{𩇒字底字中}
󲏞	{𩇒字底之一}
󲏟	{𩇔字头}
󲏠	{𩇦字心}
󲏡	{𩇧字心字旁}
󲏢	{𩇧字心}
󲏤	{𩇧字心字旁之一}
󲏥	{𩇧字心字边字腰}
󲏦	{𩇧字心字边}
󲏧	{𩇧字心之二}
󲏨	{𩇨字心}
󲏪	{𩈠字框}
󲏫	{𩈠字框字头}
󲏬	{𩈠字框之一}
󲏭	{𩉈字头}
󲏮	{𩉉字底}
󲏯	{𩉎字头}
󲏰	{𩉶字边字头}
󲏱	{𩉶字边}
󲏳	{𩊸字边}
󲏴	{𩊼字边}
󲏶	{𩋕字边}
󲏷	{𩋛字边}
󲏸	{𩋲字边}
󲏹	{𩋺字边}
󲏺	{𩋺字边之一}
󲏻	{𩌀字边}
󲏼	{𩌊字旁}
󲏽	{𩌒字边}
󲏾	{𩌒字边之一}
󲏿	{𩌓字边}
󲐀	{𩌔字边}
󲐁	{𩌕字边字底}
󲐂	{𩌕字边}
󲐃	{𩌤字边}
󲐄	{𩌯字边}
󲐅	{𩌳字边}
󲐆	{𩌶字边}
󲐇	{𩌸字边}
󲐈	{𩌽字边}
󲐉	{𩌿字边}
󲐊	{𩍊字边}
󲐋	{𩍋字边}
󲐌	{𩍌字边}
󲐍	{𩍔字边}
󲐎	{𩍫字边字腰字心}
󲐏	{𩍫字边字腰}
󲐐	{𩍫字边}
󲐑	{𩍫字边字腰字心之一}
󲐒	{𩍫字边字腰之一}
󲐓	{𩍫字边之一}
󲐔	{𩍯字旁}
󲐕	{𩍱字边}
󲐗	{𩍲字边字底}
󲐘	{𩍲字边}
󲐙	{𩍳字边字底字心}
󲐚	{𩍳字边字底}
󲐛	{𩍳字边}
󲐜	{𩍷字头}
󲐝	{𩍸字边}
󲐞	{𩍽字边}
󲐟	{𩎂字边字头字旁}
󲐠	{𩎂字边字头}
󲐡	{𩎂字边}
󲐣	{𩎂字边字头字旁之一}
󲐤	{𩎂字边字头之一}
󲐥	{𩎂字边之一}
󲐦	{𩎂字边字头之二}
󲐧	{𩎂字边之二}
󲐨	{𩎋字边字底}
󲐩	{𩎋字边}
󲐪	{𩎐字边字底}
󲐫	{𩎐字边}
󲐬	{𩎢字边}
󲐭	{𩎲字头}
󲐮	{𩎳字头}
󲐯	{𩎴字边}
󲐰	{𩏈字边}
󲐳	{𩏑字边}
󲐴	{𩏕字边}
󲐵	{𩏛字边}
󲐶	{𩏛字边之一}
󲐷	{𩏬字边}
󲐸	{𩏬字边之一}
󲐹	{𩏶字旁}
󲐺	{𩏸字腰}
󲐻	{𩏻字旁}
󲐼	{𩏻字边}
󲐽	{𩏻字旁之一}
󲐿	{𩏾字边}
󲑀	{𩐆字头}
